"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Argentina,"8361,209","6671,428","3257,853","3962,735","4374,783","3248,745","3857,027","3909,984","4524,498","2867,307","4857,796","6429,454","7653,711","7796,24","8378,735","8295,123","8645,455","9196,516","9283,175","8709,072","8638,543","8085,356","2997,621","3761,088","4314,098","5163,55","5976,082","7315,726","9146,79","8337,811","10412,974","12787,806","13889,792","14488,829","13208,831","14895,316","12772,868","14618,327","11786,433","9941,59","8489,332","10639,378","13640,41","14024,239","12811,84","11733,98","12314,778","12953,291","13517,009","14002,033"
Bolivia,"695,535","615,66","668,55","619,896","631,152","668,921","640,94","683,625","712,146","715,525","723,431","776,711","803,547","793,646","805,183","886,368","956,965","1006,102","1057,72","1010,58","994,617","949,383","904,851","908,203","968,545","1037,176","1226,845","1383,894","1729,369","1769,441","1972,684","2368,523","2635,933","2938,421","3114,966","3069,319","3110,874","3388,523","3588,089","3591,403","3172,556","3449,384","3705,266","3831,281","4014,178","4218,49","4412,397","4616,964","4830,857","5054,511"
Brazil,"1203,615","1353,019","1415,339","1110,691","1082,233","1682,789","1913,312","2042,86","2240,525","3021,975","3108,808","2717,508","2561,124","2828,455","3547,02","4923,871","5281,678","5399,969","5199,453","3567,631","3864,917","3256,18","2926,341","3165,195","3750,129","4938,537","6066,958","7572,61","9096,943","8851,059","11578,7","13631,421","12782,844","12752,255","12601,257","9182,996","9117,558","10419,575","9629,603","9364,237","7344,529","8269,709","9612,062","10642,437","11351,871","11808,697","12509,553","13230,253","13847,23","14507,244"
Chile,"2598,159","3025,972","2219,964","1774,676","1698,949","1434,434","1515,068","1756,21","2035,335","2305,635","2521,569","2849,743","3392,088","3572,096","4058,557","5153,88","5387,405","5799,339","5475,546","4985,768","5099,922","4608,057","4479,771","4824,87","6183,906","7558,009","9410,392","10447,116","10759,738","10176,733","12723,064","14560,249","15316,01","15740,391","14582,85","13494,489","13722,878","15003,77","15755,003","14551,577","13056,638","16037,956","15238,627","16815,783","16616,231","18545,759","19258,396","20009,758","20787,49","21566,944"
Colombia,"1682,427","1792,984","1878,86","1827,905","1767,893","1623,658","1592,848","1624,054","1714,91","1694,091","1691,106","1712,347","1986,543","2209,203","2726,817","3035,313","3137,068","3399,33","3090,903","2673,665","2535,477","2461,328","2424,349","2313,535","2827,173","3493,986","3836,672","4834,427","5622,121","5330,795","6498,573","7518,292","8237,281","8409,688","8312,046","6337,022","6037,126","6577,287","6923,64","6540,141","5366,991","6239,525","6691,211","6971,669","7327,118","7525,465","7776,7","8099,661","8435,699","8775,072"
Ecuador,"2006,939","1997,6","1939,217","1657,981","1717,538","1956,384","1399,04","1274,849","1181,566","1131,666","1122,668","1231,277","1316,54","1505,191","1778,393","1895,194","1949,51","2156,317","2160,746","1530,002","1398,962","1804,756","2066,227","2324,789","2597,054","2935,499","3271,898","3506,774","4224,414","4077,422","4539,721","5173,878","5652,677","6121,83","6408,86","5971,527","5909,192","6226,836","6313,598","6230,943","5474,697","6050,394","6474,762","6581,574","6566,926","6625,886","6761,125","6912,882","7086,597","7268,168"
Guyana,"1101,855","1055,839","904,864","921,541","861,055","924,305","1053,703","982,258","1125,871","1146,242","950,968","1036,884","1145,783","1392,984","1626,898","1832,399","2048,527","2161,647","2035,856","2010,769","2017,2","2023,617","2092,961","2144,109","2232,996","2305,907","2551,768","2982,217","3329,637","3457,367","3837,303","4402,775","5360,276","5476,744","5402,703","5579,974","5796,819","6104,158","6120,536","6594,375","6952,702",9707,"18353,123","21472,271","26592,216","29650,421","34953,959","36069,224","37314,144","38677,243"
Paraguay,"1299,661","1608,463","1636,527","1762,992","1390,886","1154,145","1335,761","1084,695","1392,417","977,835","1185,277","1585,242","1592,055","1580,207","1681,396","1897,134","2008,188","2003,578","1824,648","1706,395","1675,793","1577,681","1312,083","1377,521","1693,886","1857,78","2285,125","2988,684","4054,044","3623,931","4329,69","5301,834","5153,417","5892,846","6065,282","5360,077","5265,061","5608,156","5703,324","5302,239","4885,396","5433,251","5628,472","5806,988","5984,287","6191,214","6537,37","6804,303","7084,542","7377,676"
Peru,"1150,686","1356,398","1316,278","999,442","1006,416","851,139","1248,386","2015,875","1560,368","1885,285","1285,664","1511,937","1543,242","1469,214","1815,739","2119,375","2163,399","2238,263","2106,752","1872,791","1910,357","1910,299","1998,363","2147,735","2405,294","2677,739","3130,79","3633,714","4285,984","4276,689","5192,593","5913,282","6631,809","6904,355","6851,093","6413,903","6430,416","6965,195","7187,688","7233,468","6320,089","6848,211","7336,241","7932,905","8290,943","8566,977","8839,338","9115,392","9396,777","9684,88"
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"1412,471","1537,047","1405,473","1093,836","1212,382","2272,326","2787,957","2947,257","3492,771","2839,043","2902,478","2466,333","3078,446","3549,926","4034,358","4773,442","5545,702","6123,002","7266,624","7864,591","8734,16","8756,276","9767,349","9936,505","9966,713","9036,203","5762,414","6158,572","6772,07","6715,747","4782,092","4987,986","5784,332","5885,181","6702,27","7000,943","7177,885","7462,615","7688,594","8006,5"
Uruguay,"4157,553","4608,557","3743,307","2041,642","1929,09","1873,063","2312,365","2876,92","2958,929","3101,177","3588,34","4299,367","4911,064","5683,683","6557,811","7207,021","7612,913","7959,731","8364,608","7847,88","7432,339","6803,597","4441,095","3941,678","4476,943","5663,499","6377,451","7622,824","9857,304","10232,122","12943,943","15341,308","16325,41","18271,525","18109,936","16791,911","16544,81","18626,981","18645,281","17686,109","15198,839","17149,709","19737,342","21656,979","23087,682","24044,448","25033,016","26088,201","27229,474","28431,828"
Venezuela,"4671,078","5085,58","5041,589","4883,234","3447,45","3472,186","3488,564","2619,24","3292,792","2378,158","2492,939","2685,293","2968,496","2876,077","2741,979","3559,77","3174,631","3778,537","3970,433","4133,37","4820,646","4963,916","3778,255","3266,095","4311,999","5421,656","6646,803","8538,102","11079,069","9557,55","11158,18","10934,275","12688,11","8692,955","7107,443","4096,971","3676,384","3806,656","3529,72","2624,411","1566,602","2090,398","3421,754","3659,195","3867,439","3968,917",no data,no data,no data,no data